id	taxonID	acceptedNameUsageID	parentNameUsageID	scientificName	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	vernacularName
27797.0	27797.0	27797.0	8788.0	Adiantopsis chlorophylla	Plantae	Pteridophyta	Pteropsida	Filicales	Pteridaceae	Adiantopsis		chlorophylla		species	
21390.0	21390.0	21390.0	7315.0	Tillandsia juncea	Plantae	Magnoliophyta	Liliopsida	Bromeliales	Bromeliaceae	Tillandsia		juncea		species	Piñuela, parásita, epífita.
21071.0	21071.0	21071.0	7231.0	Arrabidaea mollissima	Plantae	Magnoliophyta	Magnoliopsida	Scrophulariales	Bignoniaceae	Arrabidaea		mollissima		species	
23254.0	23254.0	23254.0	7746.0	Dalbergia calycina	Plantae	Magnoliophyta	Magnoliopsida	Fabales	Fabaceae/Pap.	Dalbergia		calycina		species	
21178.0	21178.0	21178.0	7277.0	Quararibea obliquifolia	Plantae	Magnoliophyta	Magnoliopsida	Malvales	Bombacaceae	Quararibea		obliquifolia		species	
52331.0	52331.0	52331.0	76893.0	Epinecrophilla fulviventris	Animalia	Chordata	Aves	Passeriformes	Thamnophilidae	Epinecrophilla		fulviventris		species	Hormiguerito café
23005.0	23005.0	23005.0	7702.0	Calliandra bijuga	Plantae	Magnoliophyta	Magnoliopsida	Fabales	Fabaceae/Mim.	Calliandra		bijuga		species	Cabello de ángel.
51953.0	51953.0	51953.0	51952.0	Contopus cooperi	Animalia	Chordata	Aves	Passeriformes	Tyrannidae	Contopus		cooperi		species	Pibí boreal
52201.0	52201.0	52201.0	51867.0	Chaetura cinereiventris	Animalia	Chordata	Aves	Apodiformes	Apodidae	Chaetura		cinereiventris		species	Vencejo lomigrís
58254.0	58254.0	58254.0	10034.0	Bovista fusca	Fungi	Basidiomycota	Basidiomycetes	Lycoperdales	Lycoperdaceae	Bovista		fusca		species	
21463.0	21463.0	21463.0	7316.0	Vriesea umbrosa	Plantae	Magnoliophyta	Liliopsida	Bromeliales	Bromeliaceae	Vriesea		umbrosa		species	Piñuela, epífita, parásita.
53915.0	53915.0	53915.0	11122.0	Trapania inbiotica	Animalia	Mollusca	Gastropoda	Nudibranchia	Goniodorididae	Trapania		inbiotica		species	Babosa Marina
31563.0	31563.0	31563.0	6538.0	Elysia crispata	Animalia	Mollusca	Gastropoda	Sacoglossa	Elysiidae	Elysia		crispata		species	Babosa marina
70377.0	70377.0	70377.0	70376.0	Calonectris diomedea	Animalia	Chordata	Aves	Procellariformes	Procellariidae	Calonectris		diomedea		species	Pardela cenicienta
25248.0	25248.0	25248.0	8251.0	Monochaetum floribundum	Plantae	Magnoliophyta	Magnoliopsida	Myrtales	Melastomataceae	Monochaetum		floribundum		species	
54394.0	54394.0	54394.0	3508.0	Charis auius	Animalia	Arthropoda	Insecta	Lepidoptera	Riodinidae	Charis		auius		species	
53694.0	53694.0	53694.0	53129.0	Erythrolamprus mimus	Animalia	Chordata	Reptilia	Squamata	Dipsadidae	Erythrolamprus		mimus		species	Coral falsa de cabeza anillada</BR> Inglés: Stripe-bellied false coral
21938.0	21938.0	21938.0	7459.0	Ipomoea indica	Plantae	Magnoliophyta	Magnoliopsida	Solanales	Convolvulaceae	Ipomoea		indica		species	
